"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount","adj_factor","adjust"
"601988.SH","20260203","5.400000","5.400000","5.270000","5.280000","5.420000","-0.140000","-2.583026","4487573.150000","2382313.835000","2.584000","qfq"
"601988.SH","20260204","5.290000","5.360000","5.280000","5.350000","5.280000","0.070000","1.325758","2724759.350000","1455002.370000","2.584000","qfq"
"601988.SH","20260205","5.370000","5.430000","5.350000","5.400000","5.350000","0.050000","0.934579","2663431.560000","1436793.857000","2.584000","qfq"
"601988.SH","20260206","5.420000","5.430000","5.330000","5.350000","5.400000","-0.050000","-0.925926","2715983.550000","1454130.585000","2.584000","qfq"
"601988.SH","20260209","5.330000","5.380000","5.310000","5.380000","5.350000","0.030000","0.560748","1720659.540000","920817.687000","2.584000","qfq"
"601988.SH","20260210","5.380000","5.420000","5.360000","5.410000","5.380000","0.030000","0.557621","2092404.370000","1131231.527000","2.584000","qfq"
"601988.SH","20260211","5.410000","5.430000","5.360000","5.410000","5.410000","0.000000","0.000000","1706868.040000","921920.080000","2.584000","qfq"
"601988.SH","20260212","5.410000","5.410000","5.330000","5.340000","5.410000","-0.070000","-1.293900","2353063.830000","1259628.812000","2.584000","qfq"
"601988.SH","20260213","5.350000","5.360000","5.300000","5.310000","5.340000","-0.030000","-0.561798","2119730.730000","1127854.486000","2.584000","qfq"
"601988.SH","20260224","5.320000","5.320000","5.280000","5.290000","5.310000","-0.020000","-0.376648","1575305.580000","834519.546000","2.584000","qfq"
"601988.SH","20260225","5.290000","5.310000","5.270000","5.290000","5.290000","0.000000","0.000000","1879282.060000","993983.381000","2.584000","qfq"
"601988.SH","20260226","5.290000","5.310000","5.250000","5.270000","5.290000","-0.020000","-0.378072","1563908.400000","824811.745000","2.584000","qfq"
"601988.SH","20260227","5.280000","5.300000","5.260000","5.280000","5.270000","0.010000","0.189753","1419871.660000","749568.723000","2.584000","qfq"
"601988.SH","20260302","5.280000","5.330000","5.250000","5.310000","5.280000","0.030000","0.568182","2279691.560000","1208227.863000","2.584000","qfq"
"601988.SH","20260303","5.300000","5.440000","5.280000","5.420000","5.310000","0.110000","2.071563","4955741.070000","2669491.489000","2.584000","qfq"
"601988.SH","20260304","5.410000","5.420000","5.280000","5.350000","5.420000","-0.070000","-1.291513","4238135.530000","2254636.214000","2.584000","qfq"
"601988.SH","20260305","5.310000","5.400000","5.290000","5.390000","5.350000","0.040000","0.747664","2496380.300000","1338643.193000","2.584000","qfq"
"601988.SH","20260306","5.370000","5.420000","5.350000","5.390000","5.390000","0.000000","0.000000","1949472.760000","1049580.787000","2.584000","qfq"
"601988.SH","20260309","5.370000","5.410000","5.350000","5.360000","5.390000","-0.030000","-0.556586","2489436.160000","1338798.814000","2.584000","qfq"
"601988.SH","20260310","5.350000","5.350000","5.310000","5.330000","5.360000","-0.030000","-0.559701","2038706.110000","1085779.417000","2.584000","qfq"
"601988.SH","20260311","5.330000","5.360000","5.300000","5.360000","5.330000","0.030000","0.562852","1366548.180000","728383.366000","2.584000","qfq"
"601988.SH","20260312","5.350000","5.380000","5.330000","5.370000","5.360000","0.010000","0.186567","1642862.480000","881262.505000","2.584000","qfq"
"601988.SH","20260313","5.370000","5.420000","5.330000","5.390000","5.370000","0.020000","0.372439","2379957.580000","1280639.450000","2.584000","qfq"
"601988.SH","20260316","5.390000","5.420000","5.370000","5.400000","5.390000","0.010000","0.185529","2069248.800000","1117120.525000","2.584000","qfq"
"601988.SH","20260317","5.400000","5.500000","5.380000","5.500000","5.400000","0.100000","1.851852","3623887.760000","1981976.896000","2.584000","qfq"
"601988.SH","20260318","5.500000","5.540000","5.460000","5.500000","5.500000","0.000000","0.000000","2981100.310000","1638926.258000","2.584000","qfq"
"601988.SH","20260319","5.480000","5.560000","5.480000","5.530000","5.500000","0.030000","0.545455","3565275.750000","1971909.742000","2.584000","qfq"
"601988.SH","20260320","5.520000","5.580000","5.490000","5.510000","5.530000","-0.020000","-0.361664","2593770.520000","1436384.092000","2.584000","qfq"
"601988.SH","20260323","5.490000","5.500000","5.320000","5.390000","5.510000","-0.120000","-2.177858","4331484.800000","2331714.888000","2.584000","qfq"
"601988.SH","20260324","5.380000","5.490000","5.370000","5.470000","5.390000","0.080000","1.484230","3009443.050000","1637804.287000","2.584000","qfq"
"601988.SH","20260325","5.460000","5.550000","5.380000","5.550000","5.470000","0.080000","1.462523","3172409.800000","1738485.855000","2.584000","qfq"
"601988.SH","20260326","5.530000","5.600000","5.520000","5.580000","5.550000","0.030000","0.540541","2750513.170000","1534222.231000","2.584000","qfq"
"601988.SH","20260327","5.570000","5.600000","5.560000","5.570000","5.580000","-0.010000","-0.179211","2174305.540000","1212935.000000","2.584000","qfq"
"601988.SH","20260330","5.550000","5.680000","5.550000","5.670000","5.570000","0.100000","1.795332","2896330.410000","1632080.169000","2.584000","qfq"
"601988.SH","20260331","5.670000","5.910000","5.670000","5.870000","5.670000","0.200000","3.527337","6522540.900000","3811964.949000","2.584000","qfq"
"601988.SH","20260401","5.890000","5.950000","5.850000","5.870000","5.870000","0.000000","0.000000","3431892.690000","2022103.026000","2.584000","qfq"
"601988.SH","20260402","5.870000","5.970000","5.840000","5.940000","5.870000","0.070000","1.192504","2929241.880000","1738174.185000","2.584000","qfq"
"601988.SH","20260403","5.950000","5.960000","5.780000","5.820000","5.940000","-0.120000","-2.020202","2392149.890000","1394574.302000","2.584000","qfq"
"601988.SH","20260407","5.820000","5.840000","5.750000","5.800000","5.820000","-0.020000","-0.343643","2509963.500000","1454371.237000","2.584000","qfq"
"601988.SH","20260408","5.770000","5.780000","5.630000","5.740000","5.800000","-0.060000","-1.034483","3149179.430000","1799283.321000","2.584000","qfq"
"601988.SH","20260409","5.740000","5.770000","5.670000","5.690000","5.740000","-0.050000","-0.871080","2235350.390000","1275037.216000","2.584000","qfq"
"601988.SH","20260410","5.680000","5.680000","5.620000","5.650000","5.690000","-0.040000","-0.702988","1776263.580000","1002071.045000","2.584000","qfq"
"601988.SH","20260413","5.650000","5.690000","5.580000","5.690000","5.650000","0.040000","0.707965","2002528.060000","1128552.342000","2.584000","qfq"
"601988.SH","20260414","5.660000","5.740000","5.650000","5.730000","5.690000","0.040000","0.702988","1880664.500000","1072107.399000","2.584000","qfq"
"601988.SH","20260415","5.710000","5.820000","5.700000","5.790000","5.730000","0.060000","1.047120","2310032.340000","1335510.071000","2.584000","qfq"
"601988.SH","20260416","5.800000","5.870000","5.760000","5.790000","5.790000","0.000000","0.000000","1890438.030000","1096909.201000","2.584000","qfq"
"601988.SH","20260417","5.770000","5.820000","5.750000","5.770000","5.790000","-0.020000","-0.345423","1531680.130000","884406.388000","2.584000","qfq"
"601988.SH","20260420","5.750000","5.920000","5.740000","5.900000","5.770000","0.130000","2.253033","2580279.730000","1512553.844000","2.584000","qfq"
"601988.SH","20260421","5.890000","5.970000","5.890000","5.930000","5.900000","0.030000","0.508475","2053820.680000","1218008.177000","2.584000","qfq"
"601988.SH","20260422","5.930000","5.950000","5.830000","5.840000","5.930000","-0.090000","-1.517707","1616782.440000","948819.566000","2.584000","qfq"
"601988.SH","20260423","5.830000","5.880000","5.800000","5.820000","5.840000","-0.020000","-0.342466","1588391.860000","927613.368000","2.584000","qfq"
