ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adjust
603986.SH,20251117,207.508725,214.428678,206.060827,207.199174,205.481668,1.717506,0.835844,335060.740000,7029315.417000,5.647900,qfq
603986.SH,20251118,204.982393,207.279058,201.277771,202.206423,207.199174,-4.992751,-2.409639,274378.460000,5596610.403000,5.647900,qfq
603986.SH,20251119,199.959685,205.202074,198.741454,202.226394,202.206423,0.019971,0.009877,238818.630000,4835263.416000,5.647900,qfq
603986.SH,20251120,207.199174,207.698449,198.371990,198.811352,202.226394,-3.415042,-1.688722,217605.350000,4376548.543000,5.647900,qfq
603986.SH,20251121,188.725995,190.293719,182.245404,182.245404,198.811352,-16.565948,-8.332496,404416.090000,7512795.790000,5.647900,qfq
603986.SH,20251124,183.483606,184.482156,175.744842,178.920232,182.245404,-3.325172,-1.824558,340499.490000,6102558.863000,5.647900,qfq
603986.SH,20251125,184.731794,191.322226,183.922968,190.343646,178.920232,11.423415,6.384641,364021.470000,6845489.696000,5.647900,qfq
603986.SH,20251126,186.738880,198.591671,186.529184,196.215122,190.343646,5.871475,3.084671,297685.300000,5796501.768000,5.647900,qfq
603986.SH,20251127,198.591671,207.698449,198.591671,200.568801,196.215122,4.353679,2.218830,319731.750000,6535638.163000,5.647900,qfq
603986.SH,20251128,198.711497,204.053741,196.374890,202.705698,200.568801,2.136898,1.065419,215652.250000,4334514.870000,5.647900,qfq
603986.SH,20251201,203.744191,215.137649,200.908308,212.511462,202.705698,9.805763,4.837438,382670.030000,8001361.362000,5.647900,qfq
603986.SH,20251202,211.472969,216.475706,207.798304,210.194825,212.511462,-2.316637,-1.090123,249243.690000,5283394.789000,5.647900,qfq
603986.SH,20251203,210.114941,210.684115,205.891074,207.299029,210.194825,-2.895796,-1.377672,170708.130000,3550298.440000,5.647900,qfq
603986.SH,20251204,205.701349,212.671230,201.697163,210.104956,207.299029,2.805926,1.353565,247007.260000,5130378.877000,5.647900,qfq
603986.SH,20251205,210.614216,210.694100,205.202074,206.510175,210.104956,-3.594781,-1.710945,169817.360000,3517459.255000,5.647900,qfq
603986.SH,20251208,208.317551,216.655445,207.229131,213.579910,206.510175,7.069736,3.423432,311307.020000,6624931.659000,5.647900,qfq
603986.SH,20251209,211.692650,214.987866,208.996565,210.644173,213.579910,-2.935738,-1.374538,210585.960000,4464451.196000,5.647900,qfq
603986.SH,20251210,208.786869,209.895260,203.204973,208.537232,210.644173,-2.106941,-1.000237,191810.210000,3972447.948000,5.647900,qfq
603986.SH,20251211,211.572824,212.691201,207.199174,207.508725,208.537232,-1.028507,-0.493201,188246.030000,3953045.790000,5.647900,qfq
603986.SH,20251212,205.701349,214.129113,203.714234,209.585709,207.508725,2.076984,1.000914,215033.840000,4488267.448000,5.647900,qfq
603986.SH,20251215,204.722770,208.377464,203.204973,203.864017,209.585709,-5.721693,-2.730001,175069.420000,3589589.515000,5.647900,qfq
603986.SH,20251216,202.705698,205.162132,195.845658,197.573150,203.864017,-6.290866,-3.085815,204824.720000,4078991.501000,5.647900,qfq
603986.SH,20251217,196.724382,202.575887,195.665919,201.886887,197.573150,4.313737,2.183362,190501.580000,3802859.059000,5.647900,qfq
603986.SH,20251218,203.204973,218.562676,203.204973,214.139098,201.886887,12.252211,6.068850,418524.710000,8887246.199000,5.647900,qfq
603986.SH,20251219,219.681052,220.679603,207.898160,209.905245,214.139098,-4.233853,-1.977151,332394.800000,7034876.943000,5.647900,qfq
603986.SH,20251222,213.200461,219.181777,213.200461,216.146184,209.905245,6.240939,2.973217,253700.570000,5485534.765000,5.647900,qfq
603986.SH,20251223,216.675416,221.009124,214.688301,217.064851,216.146184,0.918666,0.425021,254297.870000,5543292.842000,5.647900,qfq
603986.SH,20251224,219.681052,224.673804,215.886561,223.775108,217.064851,6.710258,3.091361,298409.620000,6590470.884000,5.647900,qfq
603986.SH,20251225,222.676703,228.498251,217.014923,221.678153,223.775108,-2.096955,-0.937082,259400.490000,5752598.105000,5.647900,qfq
603986.SH,20251226,220.679603,229.666555,219.681052,226.640947,221.678153,4.962795,2.238739,296631.270000,6722806.560000,5.647900,qfq
603986.SH,20251229,225.382774,234.100118,224.673804,227.599556,226.640947,0.958608,0.422963,296019.010000,6772169.788000,5.647900,qfq
603986.SH,20251230,225.672354,229.207222,218.782357,219.900733,227.599556,-7.698822,-3.382617,271609.880000,6063612.930000,5.647900,qfq
603986.SH,20251231,227.679440,228.548178,212.271810,213.939388,219.900733,-5.961345,-2.710925,354571.190000,7741087.427000,5.647900,qfq
603986.SH,20260105,220.999139,235.338320,220.679603,235.338320,213.939388,21.398932,10.002334,499283.820000,11560778.680000,5.647900,qfq
603986.SH,20260106,237.654957,252.962732,233.660756,250.416429,235.338320,15.078109,6.406993,507535.500000,12310629.498000,5.647900,qfq
603986.SH,20260107,269.608564,273.373099,256.407730,262.119437,250.416429,11.703009,4.673419,545161.790000,14443385.679000,5.647900,qfq
603986.SH,20260108,258.624512,266.612913,256.537542,258.374874,262.119437,-3.744563,-1.428571,314109.130000,8210508.185000,5.647900,qfq
603986.SH,20260109,254.180963,254.180963,243.965794,249.687487,258.374874,-8.687387,-3.362319,395238.310000,9873211.263000,5.647900,qfq
603986.SH,20260112,254.849992,263.657205,253.631760,261.450409,249.687487,11.762922,4.711058,403813.070000,10435793.484000,5.647900,qfq
603986.SH,20260113,265.614363,274.601315,257.116701,263.117988,261.450409,1.667579,0.637818,461517.760000,12238674.369000,5.647900,qfq
603986.SH,20260114,269.608564,270.607114,248.688937,252.633210,263.117988,-10.484777,-3.984820,447321.340000,11546200.174000,5.647900,qfq
603986.SH,20260115,249.248125,257.176614,247.840169,254.590369,252.633210,1.957158,0.774704,283898.370000,7180430.118000,5.647900,qfq
603986.SH,20260116,259.653018,280.053400,257.126686,280.053400,254.590369,25.463031,10.001569,553362.130000,15020119.557000,5.647900,qfq
603986.SH,20260119,280.193197,291.576669,278.475690,288.031816,280.053400,7.978416,2.848891,463229.950000,13241198.626000,5.647900,qfq
603986.SH,20260120,282.489862,296.669276,282.469891,291.576669,288.031816,3.544853,1.230716,389782.320000,11377429.957000,5.647900,qfq
603986.SH,20260121,294.572320,314.343615,292.585205,307.203981,291.576669,15.627311,5.359589,404653.970000,12395709.223000,5.647900,qfq
